combo_idx,band_indices_1based,band_names,macro_f1,recall_cls_1,recall_cls_2,recall_cls_3,recall_cls_4,n_samples
709,"2,3,8,10,12","building_density,glcm_contrast,ndbi,proximity_park,proximity_road",0.659682312,0.583333333,0.769230769,0.5,0.769230769,159
243,"1,2,6,7,15","bu,building_density,lst,mndwi,dem",0.657912458,0.833333333,0.461538462,0.6,0.769230769,159
1703,"2,9,10,12,15","building_density,ndvi,proximity_park,proximity_road,dem",0.655750916,0.666666667,0.615384615,0.4,0.923076923,159
1267,"2,5,9,15,16","building_density,glcm_homogeneity,ndvi,dem,land_cover",0.653742013,0.833333333,0.538461538,0.4,0.846153846,159
1037,"2,4,9,12,15","building_density,glcm_entropy,ndvi,proximity_road,dem",0.653076923,0.583333333,0.692307692,0.4,0.923076923,159
1411,"2,6,9,10,15","building_density,lst,ndvi,proximity_park,dem",0.651764902,0.75,0.538461538,0.4,0.923076923,159
289,"1,2,6,15,17","bu,building_density,lst,dem,ntl",0.651666667,0.583333333,0.615384615,0.5,0.923076923,159
1250,"2,5,9,11,13","building_density,glcm_homogeneity,ndvi,proximity_resto,proximity_thirdspace",0.651633089,0.75,0.692307692,0.4,0.769230769,159
276,"1,2,6,12,13","bu,building_density,lst,proximity_road,proximity_thirdspace",0.647646476,0.666666667,0.692307692,0.6,0.615384615,159
1426,"2,6,9,13,15","building_density,lst,ndvi,proximity_thirdspace,dem",0.647435897,0.833333333,0.461538462,0.4,0.923076923,159
669,"2,3,7,9,15","building_density,glcm_contrast,mndwi,ndvi,dem",0.645855644,0.75,0.461538462,0.6,0.769230769,159
1175,"2,5,7,9,15","building_density,glcm_homogeneity,mndwi,ndvi,dem",0.645855644,0.75,0.461538462,0.6,0.769230769,159
278,"1,2,6,12,15","bu,building_density,lst,proximity_road,dem",0.645842868,0.666666667,0.615384615,0.4,0.923076923,159
1013,"2,4,8,13,15","building_density,glcm_entropy,ndbi,proximity_thirdspace,dem",0.645842868,0.666666667,0.615384615,0.4,0.923076923,159
1262,"2,5,9,13,16","building_density,glcm_homogeneity,ndvi,proximity_thirdspace,land_cover",0.645833333,0.583333333,0.615384615,0.6,0.769230769,159
979,"2,4,7,13,17","building_density,glcm_entropy,mndwi,proximity_thirdspace,ntl",0.645503953,0.583333333,0.615384615,0.7,0.692307692,159
1408,"2,6,9,10,12","building_density,lst,ndvi,proximity_park,proximity_road",0.645019031,0.666666667,0.538461538,0.6,0.769230769,159
1707,"2,9,10,13,15","building_density,ndvi,proximity_park,proximity_thirdspace,dem",0.644788183,0.666666667,0.615384615,0.5,0.769230769,159
1630,"2,8,9,13,15","building_density,ndbi,ndvi,proximity_thirdspace,dem",0.644679487,0.666666667,0.538461538,0.5,0.846153846,159
1420,"2,6,9,12,13","building_density,lst,ndvi,proximity_road,proximity_thirdspace",0.644347826,0.583333333,0.538461538,0.7,0.769230769,159
1127,"2,5,6,9,12","building_density,glcm_homogeneity,lst,ndvi,proximity_road",0.643179204,0.666666667,0.538461538,0.6,0.769230769,159
2,"1,2,3,4,6","bu,building_density,glcm_contrast,glcm_entropy,lst",0.642857143,0.666666667,0.615384615,0.6,0.692307692,159
1338,"2,6,7,9,13","building_density,lst,mndwi,ndvi,proximity_thirdspace",0.642773893,0.75,0.461538462,0.6,0.769230769,159
621,"2,3,6,9,12","building_density,glcm_contrast,lst,ndvi,proximity_road",0.642629753,0.666666667,0.538461538,0.6,0.769230769,159
907,"2,4,6,9,12","building_density,glcm_entropy,lst,ndvi,proximity_road",0.642629753,0.666666667,0.538461538,0.6,0.769230769,159
175,"1,2,5,6,12","bu,building_density,glcm_homogeneity,lst,proximity_road",0.641873638,0.666666667,0.692307692,0.5,0.692307692,159
893,"2,4,6,7,15","building_density,glcm_entropy,lst,mndwi,dem",0.641703297,0.5,0.615384615,0.6,0.846153846,159
1048,"2,4,9,15,17","building_density,glcm_entropy,ndvi,dem,ntl",0.641632715,0.583333333,0.615384615,0.5,0.846153846,159
1268,"2,5,9,15,17","building_density,glcm_homogeneity,ndvi,dem,ntl",0.641632715,0.583333333,0.615384615,0.5,0.846153846,159
273,"1,2,6,11,15","bu,building_density,lst,proximity_resto,dem",0.640886288,0.666666667,0.461538462,0.6,0.846153846,159
31,"1,2,3,6,12","bu,building_density,glcm_contrast,lst,proximity_road",0.640648567,0.666666667,0.692307692,0.5,0.692307692,159
109,"1,2,4,6,12","bu,building_density,glcm_entropy,lst,proximity_road",0.640648567,0.666666667,0.692307692,0.5,0.692307692,159
1428,"2,6,9,13,17","building_density,lst,ndvi,proximity_thirdspace,ntl",0.640389401,0.666666667,0.538461538,0.6,0.769230769,159
139,"1,2,4,9,15","bu,building_density,glcm_entropy,ndvi,dem",0.639880952,0.75,0.538461538,0.5,0.769230769,159
205,"1,2,5,9,15","bu,building_density,glcm_homogeneity,ndvi,dem",0.639880952,0.75,0.538461538,0.5,0.769230769,159
1552,"2,7,9,15,16","building_density,mndwi,ndvi,dem,land_cover",0.639492754,0.833333333,0.384615385,0.6,0.769230769,159
853,"2,4,5,9,13","building_density,glcm_entropy,glcm_homogeneity,ndvi,proximity_thirdspace",0.639469697,0.583333333,0.692307692,0.5,0.769230769,159
104,"1,2,4,6,7","bu,building_density,glcm_entropy,lst,mndwi",0.639409142,0.75,0.461538462,0.6,0.769230769,159
757,"2,3,9,13,17","building_density,glcm_contrast,ndvi,proximity_thirdspace,ntl",0.639395604,0.5,0.615384615,0.6,0.846153846,159
1043,"2,4,9,13,17","building_density,glcm_entropy,ndvi,proximity_thirdspace,ntl",0.639395604,0.5,0.615384615,0.6,0.846153846,159
1263,"2,5,9,13,17","building_density,glcm_homogeneity,ndvi,proximity_thirdspace,ntl",0.639395604,0.5,0.615384615,0.6,0.846153846,159
1413,"2,6,9,10,17","building_density,lst,ndvi,proximity_park,ntl",0.639114509,0.666666667,0.615384615,0.5,0.769230769,159
607,"2,3,6,7,15","building_density,glcm_contrast,lst,mndwi,dem",0.638676541,0.5,0.615384615,0.6,0.846153846,159
323,"1,2,7,12,15","bu,building_density,mndwi,proximity_road,dem",0.638486513,0.666666667,0.538461538,0.5,0.846153846,159
762,"2,3,9,15,17","building_density,glcm_contrast,ndvi,dem,ntl",0.638111888,0.583333333,0.615384615,0.5,0.846153846,159
1369,"2,6,7,15,17","building_density,lst,mndwi,dem,ntl",0.636430976,0.583333333,0.615384615,0.5,0.846153846,159
1454,"2,6,10,15,17","building_density,lst,proximity_park,dem,ntl",0.635714286,0.583333333,0.615384615,0.5,0.846153846,159
546,"2,3,5,7,9","building_density,glcm_contrast,glcm_homogeneity,mndwi,ndvi",0.635435572,0.75,0.615384615,0.4,0.769230769,159
832,"2,4,5,7,9","building_density,glcm_entropy,glcm_homogeneity,mndwi,ndvi",0.635435572,0.75,0.615384615,0.4,0.769230769,159
1432,"2,6,9,15,16","building_density,lst,ndvi,dem,land_cover",0.634469697,0.833333333,0.384615385,0.5,0.846153846,159
1598,"2,7,12,15,16","building_density,mndwi,proximity_road,dem,land_cover",0.634246189,0.5,0.538461538,0.6,0.923076923,159
1215,"2,5,8,10,12","building_density,glcm_homogeneity,ndbi,proximity_park,proximity_road",0.634045157,0.5,0.769230769,0.5,0.769230769,159
267,"1,2,6,10,15","bu,building_density,lst,proximity_park,dem",0.633616384,0.75,0.461538462,0.5,0.846153846,159
1376,"2,6,8,9,15","building_density,lst,ndbi,ndvi,dem",0.633186105,0.75,0.461538462,0.5,0.846153846,159
1462,"2,6,11,13,15","building_density,lst,proximity_resto,proximity_thirdspace,dem",0.63236239,0.666666667,0.461538462,0.5,0.923076923,159
1535,"2,7,9,11,13","building_density,mndwi,ndvi,proximity_resto,proximity_thirdspace",0.632191882,0.75,0.461538462,0.5,0.846153846,159
503,"2,3,4,9,15","building_density,glcm_contrast,glcm_entropy,ndvi,dem",0.632083784,0.833333333,0.461538462,0.4,0.846153846,159
569,"2,3,5,9,15","building_density,glcm_contrast,glcm_homogeneity,ndvi,dem",0.632083784,0.833333333,0.461538462,0.4,0.846153846,159
761,"2,3,9,15,16","building_density,glcm_contrast,ndvi,dem,land_cover",0.632083784,0.833333333,0.461538462,0.4,0.846153846,159
855,"2,4,5,9,15","building_density,glcm_entropy,glcm_homogeneity,ndvi,dem",0.632083784,0.833333333,0.461538462,0.4,0.846153846,159
1047,"2,4,9,15,16","building_density,glcm_entropy,ndvi,dem,land_cover",0.632083784,0.833333333,0.461538462,0.4,0.846153846,159
1422,"2,6,9,12,15","building_density,lst,ndvi,proximity_road,dem",0.630952381,0.583333333,0.538461538,0.5,0.923076923,159
744,"2,3,9,11,13","building_density,glcm_contrast,ndvi,proximity_resto,proximity_thirdspace",0.630799756,0.75,0.615384615,0.4,0.769230769,159
1030,"2,4,9,11,13","building_density,glcm_entropy,ndvi,proximity_resto,proximity_thirdspace",0.630213196,0.75,0.615384615,0.4,0.769230769,159
1739,"2,9,12,15,17","building_density,ndvi,proximity_road,dem,ntl",0.63011988,0.416666667,0.692307692,0.5,0.923076923,159
112,"1,2,4,6,15","bu,building_density,glcm_entropy,lst,dem",0.629537037,0.75,0.538461538,0.4,0.846153846,159
1721,"2,9,11,13,14","building_density,ndvi,proximity_resto,proximity_thirdspace,proximity_transport",0.628260188,0.5,0.615384615,0.5,0.923076923,159
1443,"2,6,10,12,15","building_density,lst,proximity_park,proximity_road,dem",0.628072197,0.5,0.615384615,0.5,0.923076923,159
391,"1,2,9,13,15","bu,building_density,ndvi,proximity_thirdspace,dem",0.625745342,0.833333333,0.538461538,0.3,0.846153846,159
1344,"2,6,7,10,12","building_density,lst,mndwi,proximity_park,proximity_road",0.625745342,0.5,0.538461538,0.7,0.769230769,159
257,"1,2,6,9,12","bu,building_density,lst,ndvi,proximity_road",0.625587045,0.583333333,0.615384615,0.6,0.692307692,159
264,"1,2,6,10,12","bu,building_density,lst,proximity_park,proximity_road",0.625195095,0.583333333,0.615384615,0.6,0.692307692,159
1113,"2,5,6,7,15","building_density,glcm_homogeneity,lst,mndwi,dem",0.62503663,0.5,0.615384615,0.6,0.769230769,159
1676,"2,8,12,13,15","building_density,ndbi,proximity_road,proximity_thirdspace,dem",0.625024155,0.583333333,0.615384615,0.4,0.923076923,159
1584,"2,7,11,13,17","building_density,mndwi,proximity_resto,proximity_thirdspace,ntl",0.624670619,0.583333333,0.615384615,0.6,0.692307692,159
1540,"2,7,9,12,13","building_density,mndwi,ndvi,proximity_road,proximity_thirdspace",0.624347826,0.5,0.538461538,0.7,0.769230769,159
434,"1,2,11,15,17","bu,building_density,proximity_resto,dem,ntl",0.623913043,0.583333333,0.615384615,0.5,0.769230769,159
737,"2,3,9,10,12","building_density,glcm_contrast,ndvi,proximity_park,proximity_road",0.623438281,0.666666667,0.538461538,0.5,0.769230769,159
1023,"2,4,9,10,12","building_density,glcm_entropy,ndvi,proximity_park,proximity_road",0.623438281,0.666666667,0.538461538,0.5,0.769230769,159
1243,"2,5,9,10,12","building_density,glcm_homogeneity,ndvi,proximity_park,proximity_road",0.623438281,0.666666667,0.538461538,0.5,0.769230769,159
35,"1,2,3,6,16","bu,building_density,glcm_contrast,lst,land_cover",0.623369963,0.666666667,0.615384615,0.6,0.615384615,159
113,"1,2,4,6,16","bu,building_density,glcm_entropy,lst,land_cover",0.623369963,0.666666667,0.615384615,0.6,0.615384615,159
179,"1,2,5,6,16","bu,building_density,glcm_homogeneity,lst,land_cover",0.623369963,0.666666667,0.615384615,0.6,0.615384615,159
1424,"2,6,9,12,17","building_density,lst,ndvi,proximity_road,ntl",0.622683983,0.416666667,0.538461538,0.8,0.769230769,159
749,"2,3,9,12,13","building_density,glcm_contrast,ndvi,proximity_road,proximity_thirdspace",0.622590292,0.583333333,0.615384615,0.5,0.769230769,159
1035,"2,4,9,12,13","building_density,glcm_entropy,ndvi,proximity_road,proximity_thirdspace",0.622590292,0.583333333,0.615384615,0.5,0.769230769,159
1255,"2,5,9,12,13","building_density,glcm_homogeneity,ndvi,proximity_road,proximity_thirdspace",0.622590292,0.583333333,0.615384615,0.5,0.769230769,159
14,"1,2,3,5,6","bu,building_density,glcm_contrast,glcm_homogeneity,lst",0.62253663,0.666666667,0.538461538,0.6,0.692307692,159
92,"1,2,4,5,6","bu,building_density,glcm_entropy,glcm_homogeneity,lst",0.62253663,0.666666667,0.538461538,0.6,0.692307692,159
628,"2,3,6,10,12","building_density,glcm_contrast,lst,proximity_park,proximity_road",0.622484472,0.5,0.615384615,0.6,0.769230769,159
914,"2,4,6,10,12","building_density,glcm_entropy,lst,proximity_park,proximity_road",0.622484472,0.5,0.615384615,0.6,0.769230769,159
1134,"2,5,6,10,12","building_density,glcm_homogeneity,lst,proximity_park,proximity_road",0.622484472,0.5,0.615384615,0.6,0.769230769,159
279,"1,2,6,12,16","bu,building_density,lst,proximity_road,land_cover",0.622388494,0.583333333,0.692307692,0.5,0.692307692,159
241,"1,2,6,7,13","bu,building_density,lst,mndwi,proximity_thirdspace",0.620965086,0.75,0.461538462,0.6,0.692307692,159
912,"2,4,6,9,17","building_density,glcm_entropy,lst,ndvi,ntl",0.620216241,0.583333333,0.538461538,0.6,0.769230769,159
1742,"2,9,13,14,16","building_density,ndvi,proximity_thirdspace,proximity_transport,land_cover",0.620164835,0.5,0.615384615,0.6,0.769230769,159
1534,"2,7,9,11,12","building_density,mndwi,ndvi,proximity_resto,proximity_road",0.620100733,0.416666667,0.692307692,0.6,0.769230769,159
908,"2,4,6,9,13","building_density,glcm_entropy,lst,ndvi,proximity_thirdspace",0.620059289,0.75,0.461538462,0.5,0.769230769,159
1706,"2,9,10,13,14","building_density,ndvi,proximity_park,proximity_thirdspace,proximity_transport",0.619883739,0.583333333,0.615384615,0.5,0.769230769,159
65,"1,2,3,10,12","bu,building_density,glcm_contrast,proximity_park,proximity_road",0.619271255,0.583333333,0.692307692,0.5,0.692307692,159
209,"1,2,5,10,12","bu,building_density,glcm_homogeneity,proximity_park,proximity_road",0.619271255,0.583333333,0.692307692,0.5,0.692307692,159
1637,"2,8,9,15,17","building_density,ndbi,ndvi,dem,ntl",0.619071146,0.75,0.461538462,0.5,0.769230769,159
1364,"2,6,7,13,17","building_density,lst,mndwi,proximity_thirdspace,ntl",0.619047619,0.583333333,0.615384615,0.5,0.769230769,159
1531,"2,7,9,10,15","building_density,mndwi,ndvi,proximity_park,dem",0.619047619,0.75,0.384615385,0.6,0.769230769,159
1805,"2,11,15,16,17","building_density,proximity_resto,dem,land_cover,ntl",0.618294749,0.583333333,0.615384615,0.5,0.769230769,159
382,"1,2,9,11,15","bu,building_density,ndvi,proximity_resto,dem",0.618268398,0.666666667,0.461538462,0.5,0.846153846,159
1626,"2,8,9,12,15","building_density,ndbi,ndvi,proximity_road,dem",0.617989082,0.666666667,0.615384615,0.3,0.923076923,159
143,"1,2,4,10,12","bu,building_density,glcm_entropy,proximity_park,proximity_road",0.617732794,0.583333333,0.692307692,0.5,0.692307692,159
27,"1,2,3,6,8","bu,building_density,glcm_contrast,lst,ndbi",0.6175,0.75,0.538461538,0.5,0.692307692,159
171,"1,2,5,6,8","bu,building_density,glcm_homogeneity,lst,ndbi",0.6175,0.75,0.538461538,0.5,0.692307692,159
253,"1,2,6,8,16","bu,building_density,lst,ndbi,land_cover",0.6175,0.75,0.538461538,0.5,0.692307692,159
1447,"2,6,10,13,15","building_density,lst,proximity_park,proximity_thirdspace,dem",0.617375378,0.666666667,0.538461538,0.5,0.769230769,159
1741,"2,9,13,14,15","building_density,ndvi,proximity_thirdspace,proximity_transport,dem",0.617335563,0.583333333,0.615384615,0.4,0.846153846,159
1368,"2,6,7,15,16","building_density,lst,mndwi,dem,land_cover",0.617323598,0.583333333,0.538461538,0.5,0.846153846,159
670,"2,3,7,9,16","building_density,glcm_contrast,mndwi,ndvi,land_cover",0.616453634,0.666666667,0.615384615,0.4,0.769230769,159
