n_estimators,macro_f1,n_train,n_val
100,0.650975499,111,48
150,0.692775407,111,48
200,0.692775407,111,48
250,0.672452107,111,48
300,0.672801932,111,48
350,0.693055556,111,48
400,0.692452107,111,48
450,0.718704332,111,48
500,0.718704332,111,48
550,0.718957955,111,48
600,0.718957955,111,48
650,0.718957955,111,48
700,0.718957955,111,48
750,0.692452107,111,48
800,0.693955375,111,48
850,0.719680451,111,48
900,0.719680451,111,48
950,0.719680451,111,48
1000,0.719680451,111,48
1050,0.744722222,111,48
1100,0.72498142,111,48
1150,0.72498142,111,48
1200,0.744722222,111,48
1250,0.72498142,111,48
1300,0.744722222,111,48
1350,0.722801932,111,48
1400,0.743055556,111,48
1450,0.701059508,111,48
1500,0.700153711,111,48
1550,0.700153711,111,48
1600,0.700153711,111,48
1650,0.700153711,111,48
1700,0.700153711,111,48
1750,0.700153711,111,48
1800,0.700153711,111,48
1850,0.700153711,111,48
1900,0.700153711,111,48
1950,0.700153711,111,48
2000,0.700153711,111,48
2050,0.700153711,111,48
2100,0.700153711,111,48
2150,0.700153711,111,48
2200,0.700153711,111,48
2250,0.700153711,111,48
2300,0.700153711,111,48
2350,0.700153711,111,48
2400,0.700153711,111,48
2450,0.700153711,111,48
